date,documented_total,gap_days,forecast,forecast_upper,forecast_lower,forecast_range
1928-01-01,4,7,5.861976173110821,9.42186623516483,2.263428751939283,7.158437483225546
1928-01-08,0,7,6.120018310137018,9.63713170102763,2.4924587808528416,7.14467292017479
1928-01-15,0,7,6.551550038827035,10.305167424589884,3.3712078464994972,6.933959578090387
1928-01-22,0,7,7.133758204537345,10.734626250277342,3.3450057685447403,7.389620481732602
1928-01-29,0,7,7.403134866856107,10.940149632564546,3.7238188430236314,7.2163307895409154
1928-02-05,0,7,6.926019915801807,10.791421224031367,3.1362629140851483,7.655158309946219
1928-02-12,0,7,5.925390410937622,9.772695837005978,2.256653746468969,7.51604209053701
1928-02-19,0,7,5.181417064677071,8.819957039182054,1.7865843248207711,7.033372714361283
1930-01-05,2,7,5.791689047835389,9.330821942532733,2.109944319747742,7.220877622784991
1930-01-12,0,7,6.077010292853047,9.73291640775978,2.2809100550187678,7.452006352741011
1930-01-19,0,7,6.538042021315441,9.82433737452379,3.0371024840790435,6.787234890444746
1930-01-26,0,7,6.877464429204727,10.738488002895128,3.270972895720442,7.467515107174686
1930-02-02,0,7,6.660644531151459,10.23846312417346,2.7768723513064324,7.461590772867028
1930-02-09,0,7,5.862966537880118,9.745456791844177,2.056037553471869,7.689419238372308
1930-02-16,0,7,5.048644189720021,8.689501293660284,1.0782725527132095,7.611228740947074
1930-02-23,0,7,4.855183977583618,8.815781246396561,1.3988866769800405,7.41689456941652
1930-03-02,0,7,5.330771691345653,8.974916113455542,1.7348895353363232,7.240026578119219
1930-03-09,0,7,5.906785939123786,9.528047404571561,2.247371842383657,7.280675562187904
1930-03-16,0,7,6.044751490590723,9.501622496988336,2.4832742614691345,7.018348235519202
1930-03-23,0,7,5.788355652433479,9.391153573752675,2.0428676659973117,7.348285907755363
1930-03-30,0,7,5.592104574657401,9.197140246534758,1.9959969059345444,7.201143340600214
1930-04-06,0,7,5.706006054433593,9.418779411127517,2.071747296979141,7.347032114148376
1930-04-13,0,7,5.916353420858194,9.488575280581268,2.035556523120359,7.453018757460908
1930-04-20,0,7,5.92873508142386,9.573004195654065,2.2273350405359467,7.345669155118118
1930-04-27,0,7,5.819613851688795,9.488021976858347,2.2944910075118217,7.193530969346526
1930-05-04,0,7,5.907677573287806,9.220379661946065,2.148321704390438,7.072057957555627
1930-05-11,0,7,6.205553364875884,9.850740903185304,2.5937836705103385,7.256957232674965
1930-05-18,0,7,6.2333980552062105,9.764705973885777,2.6892514319769143,7.075454541908862
1930-05-25,0,7,5.553744413087825,9.041818309303192,1.861805853707499,7.180012455595693
1930-08-03,0,7,4.434999611083437,8.190070793619155,0.41096418881765495,7.7791066048015
1930-08-10,0,7,4.180543401443164,8.06288531146138,0.32439365545478044,7.7384916560066
1930-08-17,0,7,3.9495806675101752,7.481334388799472,-0.03001628168565824,7.511350670485131
1930-08-24,0,7,4.168438028446011,7.877324935505763,0.3038848100116807,7.573440125494082
1930-08-31,0,7,4.853287311526496,8.629674826888941,0.8756745252057566,7.754000301683185
1930-09-07,0,7,5.518412463314719,9.674242830594045,1.9533238335588345,7.72091899703521
1930-09-14,0,7,5.75515719021381,9.63334571095968,1.8267594359228407,7.80658627503684
1930-09-21,0,7,5.7540093363138025,9.793969283714471,1.92949885164936,7.8644704320651115
1930-09-28,0,7,6.076619519111511,9.775349919385157,2.1213066332519372,7.65404328613322
1930-10-05,0,7,6.92708794514813,10.466466009125766,3.2821552620169756,7.18431074710879
1930-10-12,0,7,7.829522994067905,11.715798377468396,4.071972655617806,7.64382572185059
1930-10-19,0,7,8.139624365748112,12.045344169245078,4.343350010696574,7.701994158548504
1930-10-26,0,7,7.784949392404728,11.494959148887764,3.9881445109807165,7.5068146379070475
1930-11-02,0,7,7.33419908940706,11.138778908933807,3.7034563073587066,7.4353226015751
1930-11-09,0,7,7.313315098246375,11.103161996042285,3.6113079226772116,7.491854073365074
1930-11-16,0,7,7.599542044294516,11.536127033232239,3.630289006902225,7.905838026330014
1930-11-23,0,7,7.608317215062817,11.392416171505133,3.4240272568494534,7.968388914655679
1930-11-30,0,7,7.0100327152006905,10.805206905541517,3.330966000507296,7.474240905034222
1930-12-07,0,7,6.099431695912631,9.825040026134173,2.2918622142033644,7.533177811930809
1930-12-14,0,7,5.420973738790115,9.180519584872089,1.5919197108184058,7.588599874053683
1930-12-21,0,7,5.176575374776637,9.081799353673246,1.4760688209220645,7.605730532751181
1931-02-22,0,7,2.188525974683829,5.992348642217972,-1.9244580774733344,7.916806719691307
1931-03-01,0,7,2.4260150564785494,5.990126985517532,-1.1183273621711864,7.108454347688718
1931-03-08,0,7,2.845928867833688,6.5589040777372345,-0.8571935011513431,7.416097578888578
1931-03-15,0,7,3.033549377767983,6.577404634157051,-0.6085883879002575,7.185993022057309
1931-03-22,0,7,2.9084805247207357,6.807288888108238,-0.567780361292388,7.375069249400626
1931-03-29,0,7,2.7403193564474138,6.62375783384115,-0.6909443648714233,7.314702198712574
1931-04-05,0,7,2.7589968482368814,6.625218201781133,-0.6381901117096268,7.2634083134907605
1931-04-12,0,7,2.8877686448236197,6.605412562531149,-0.8055862692310816,7.410998831762231
1931-04-19,0,7,2.9249905513295165,6.798346405215835,-0.8306189203921088,7.628965325607943
1931-04-26,0,7,2.877840185669693,6.542551936350785,-0.8616846186872328,7.404236555038017
1931-05-03,0,7,2.94740432236045,6.8739950803193715,-0.9870965394462174,7.861091619765589
1931-05-10,0,7,3.162562269410801,6.905581274935193,-0.6127680392712227,7.518349314206415
1931-05-17,0,7,3.1930428949989373,6.827828490689766,-0.5860496040934015,7.4138780947831675
1931-05-24,0,7,2.692578930879658,6.647948755033794,-1.150631842744595,7.798580597778389
1931-05-31,0,7,1.8132576324029808,5.523111902422,-1.8361109944559382,7.359222896877938
1931-06-07,0,7,1.2148622710148507,4.846759295193949,-2.7692436619535745,7.616002957147524
1931-06-14,0,7,1.4440118959447439,5.049901635685919,-2.3197775801740987,7.3696792158600175
1931-06-21,0,7,2.342598798656182,6.3245927858512685,-1.4155065295364138,7.740099315387682
1931-06-28,0,7,3.175233009492606,7.149143531999926,-0.6806845590533754,7.829828091053302
1931-07-05,0,7,3.3540952894559997,7.179104467223071,-0.33130044727179137,7.510404914494862
1931-07-12,0,7,2.9523706495165047,6.4135907290258345,-0.7895098548033929,7.203100583829228
1931-07-19,0,7,2.4700781296841097,5.837090320855054,-1.4582129065406015,7.295303227395656
1931-07-26,0,7,2.209269578061839,5.849345031508103,-1.3944321641210646,7.243777195629168
1931-08-02,0,7,2.032335719817728,5.69492622470198,-1.5476446756367765,7.242570900338757
1931-08-09,0,7,1.7309096459869453,5.364786726852112,-2.2991748219377457,7.6639615487898585
1931-08-16,0,7,1.4444240975598515,5.096269781450643,-2.0538129256950364,7.15008270714568
1931-08-23,0,7,1.5393392274453,5.412849118422143,-2.1478049628245595,7.560654081246702
1931-08-30,0,7,2.1046630762578777,5.704340422537856,-1.5017298721707797,7.206070294708635
1931-09-06,0,7,2.755543922139662,6.383870775753982,-0.966188734293783,7.350059510047765
1931-09-13,0,7,3.055984058652137,6.8256754819547885,-0.7906347299560468,7.616310211910835
1931-09-20,0,7,3.0549866929663474,6.8339621780348985,-0.6571123061301818,7.491074484165081
1931-09-27,0,7,3.2391470905101674,6.8654999338578016,-0.5244081549460128,7.389908088803814
1931-10-04,0,7,3.9166528600521913,7.747082786891773,0.3315350442710286,7.415547742620745
1931-10-11,0,7,4.779905140377125,8.662642719608886,0.8160197138868056,7.846623005722081
1931-10-18,0,7,5.208409602094201,9.031220965974772,1.6713767060371563,7.359844259937615
1931-10-25,0,7,4.973117808155141,8.839424629221023,1.361979552905666,7.477445076315357
1931-11-01,0,7,4.497976508429066,8.556454458845165,0.8460617813681641,7.710392677477001
1931-11-08,0,7,4.358651242813066,7.877270046924015,0.3797856482433808,7.497484398680634
1931-11-15,0,7,4.615176927380311,8.45065039553389,0.898356924014975,7.552293471518914
1931-11-22,0,7,4.765420960149155,7.985159387866465,1.1868419004396835,6.798317487426781
1931-11-29,0,7,4.351733343749274,8.148724017973603,0.5210168037506175,7.627707214222985
1931-12-06,0,7,3.48849241409656,7.43562987044231,-0.24320672180751965,7.678836592249829
1931-12-13,0,7,2.7175142104544503,6.412778930252642,-0.8123947087920838,7.225173639044726
1931-12-20,0,7,2.422669147680692,6.435239099423519,-1.1006253079153405,7.53586440733886
1931-12-27,0,7,2.5130036572185706,6.189683195023145,-1.376426999629891,7.566110194653036
1932-01-03,0,7,2.6746221176162823,6.52764789533185,-0.97534444484527,7.50299234017712
1932-01-10,0,7,2.7766666355600997,6.210381652906556,-1.1523776255108051,7.362759278417362
1932-01-17,0,7,2.904040365526772,6.809163578673991,-0.6903826958848435,7.499546274558835
1932-01-24,0,7,3.05774016606673,6.876637514004495,-0.6053738622701744,7.482011376274669
1932-01-31,0,7,3.0180919004692255,6.821234011953928,-0.6428491459850266,7.464083157938955
1932-02-07,0,7,2.6108943539128964,6.213823114492394,-1.2045332148664298,7.418356329358824
1932-02-14,0,7,2.022057928581339,5.5223116060662045,-1.9279075014066929,7.450219107472897
1932-02-21,0,7,1.6915487676865117,5.225693692354354,-1.9115663447929827,7.137260037147337
1932-02-28,0,7,1.853848052891368,5.532842985626001,-1.8367560556403901,7.369599041266391
1932-03-06,0,7,2.2758002095805803,6.029671898924175,-1.464985067939941,7.494656966864116
1932-03-13,0,7,2.5243133160846543,6.228329933828179,-1.31657657862178,7.544906512449959
1932-03-20,0,7,2.4418250988959516,5.996906151619499,-0.971426138866853,6.9683322904863525
1932-03-27,0,7,2.2579336601362447,5.811238195687713,-1.5561137355152008,7.367351931202913
1932-04-03,0,7,2.240287395713719,5.955294845566187,-1.6894455893985292,7.644740434964716
1932-04-10,0,7,2.3660418306466164,6.108053056110034,-1.3929421064382657,7.5009951625483
1932-04-17,0,7,2.4281790545917965,6.0917190684353235,-1.2874276678465755,7.379146736281899
1932-04-24,0,7,2.383438849383171,6.06641995771015,-1.3409196752515193,7.407339632961669
1932-05-01,0,7,2.4203007092054047,6.108139689736265,-1.378674064155693,7.486813753891958
1932-05-08,0,7,2.6252330429607373,6.43294214902299,-1.2174244565270051,7.650366605549995
1932-05-15,0,7,2.7217245849056435,6.382494632383644,-0.6964861459918354,7.078980778375479
1932-05-22,0,7,2.3241112356659106,6.120343415893752,-1.2751330983167237,7.395476514210476
1932-05-29,0,7,1.4734723299604502,5.155096932079594,-2.5879674788074194,7.743064410887014
1932-06-05,0,7,0.7715447702507738,4.514785229843277,-2.8241616498538527,7.338946879697129
1932-06-12,0,7,0.8412162143757111,4.527922949282888,-2.783692191310581,7.311615140593469
1932-06-19,0,7,1.6658286709052836,5.357674590772263,-2.218146247210744,7.575820837983008
1932-06-26,0,7,2.5683308127063773,6.163771058596405,-1.2530132300376486,7.416784288634053
1932-07-03,0,7,2.879353859845615,6.795815034669999,-1.0687475565307418,7.86456259120074
1932-07-10,0,7,2.549176890268803,6.421047266500678,-0.9825691941908361,7.403616460691515
1932-07-17,0,7,2.0466883537361076,5.7980524814764465,-1.7837941739022476,7.581846655378694
1932-07-24,0,7,1.7462754589332725,5.634134047244874,-2.243266179668226,7.8774002269131
1932-07-31,0,7,1.5753777874163033,5.191065722352543,-2.3870956031300365,7.578161325482579
1932-08-07,0,7,1.2985548398885287,5.194981193800173,-2.1934856581214595,7.388466851921632
1932-08-14,0,7,0.9833377086677348,4.575211334681952,-2.661962508571064,7.237173843253016
1932-08-21,0,7,0.9898250672668159,4.736299946619194,-2.8930599286707306,7.629359875289925
1932-08-28,0,7,1.4885779633674243,5.491912726792059,-2.0480680926324357,7.539980819424494
1932-09-04,0,7,2.163729926127945,5.65850920455385,-1.4863838313072113,7.144893035861061
1932-09-11,0,7,2.54141806986463,6.272621485258749,-1.0603123617493695,7.3329338470081185
1932-09-18,0,7,2.5652256572469425,6.1626841198323445,-1.088217467232623,7.250901587064968
1937-01-03,4,7,2.284343271751956,5.529259806892896,-0.7612077943173026,6.2904676012101985
1937-01-10,0,7,3.3481808834597366,6.560212196126448,0.2834530930178978,6.27675910310855
1937-01-17,0,7,4.642453230383146,7.5821414361500965,1.6540454240298437,5.928096012120253
1937-01-24,0,7,5.535846442460694,8.598684768897483,2.5093499162853408,6.089334852612142
1937-01-31,0,7,5.37129403034801,8.604751968613341,2.186147784513354,6.418604184099987
1937-02-07,0,7,4.1992034024609035,7.182612540356106,1.1405163102206064,6.0420962301355
1937-02-14,0,7,2.9023033154394,6.020148346104892,-0.1744168128307336,6.194565158935625
1937-02-21,0,7,2.438202966327328,5.609873086594045,-0.601047908572654,6.210920995166699
1937-02-28,0,7,2.959841920442458,6.198468117575287,-0.24181904227204368,6.4402871598473315
1937-03-07,0,7,3.7482577394780465,6.800846875598549,0.6134281006331319,6.187418774965417
1937-03-14,0,7,3.990321623189443,7.181353017497588,1.1726604300058003,6.008692587491788
1937-03-21,0,7,3.531929305253837,6.540043470095373,0.30892415999950606,6.231119310095867
1937-03-28,0,7,2.8636559417485694,5.982663788129595,-0.2734444053135817,6.256108193443176
1937-04-04,0,7,2.5119950130210427,5.845983117560479,-0.751063033087058,6.597046150647537
1937-04-11,0,7,2.5874334340773535,5.70960885531604,-0.2643288760174266,5.973937731333466
1937-04-18,0,7,2.8828518741344595,5.783971818456715,-0.29734410270052936,6.081315921157245
1937-04-25,0,7,3.204083800352418,6.650281177673343,0.07645249900494147,6.573828678668402
1937-05-02,0,7,3.4598679986842535,6.437038809309013,0.105849838908374,6.331188970400639
1937-05-09,0,7,3.516509939532348,6.411742663839035,0.36329980154802805,6.048442862291006
1937-05-16,0,7,3.1863681908508132,6.333455298233358,0.22073017855562352,6.112725119677735
1937-05-23,0,7,2.4702705468142483,5.639388438317439,-0.5294503692029672,6.168838807520406
1937-05-30,0,7,1.7149547593820973,4.984306570571444,-1.258772079308332,6.243078649879776
1937-06-06,0,7,1.3756763650186494,4.452673409635792,-1.6401343081450799,6.092807717780872
1937-06-13,0,7,1.5913504720075693,4.703069514822578,-1.6233196839213009,6.326389198743879
1937-06-20,0,7,2.074187740844554,5.473156969460313,-1.061504263040028,6.5346612325003415
1937-06-27,0,7,2.4486929620102185,5.64174236850713,-0.5949213675752241,6.236663736082354
1937-07-04,0,7,2.609820507401521,5.559722805735954,-0.6646108065096611,6.224333612245616
1937-07-11,0,7,2.669244085973137,5.764549903410002,-0.21902979918182058,5.983579702591822
1937-07-18,0,7,2.637442872329969,5.490177748940359,-0.4558767905359217,5.946054539476281
1937-07-25,0,7,2.358319398071295,5.713686251766391,-0.8287771745071985,6.5424634262735895
1937-08-01,0,7,1.8368505117380254,4.898744767474978,-1.4773741608945699,6.376118928369547
1937-08-08,0,7,1.4685872485477116,4.67372386974911,-1.6303225685435792,6.304046438292689
1937-08-15,0,7,1.7020728102433766,4.807181023532194,-1.5886475475698718,6.395828571102066
1937-08-22,0,7,2.4216774498966585,5.331974484089227,-0.6585227864193781,5.990497270508605
1937-08-29,0,7,2.861935719988069,5.828721114615909,-0.1512324396805037,5.979953554296412
1937-09-05,0,7,2.354670986874476,5.287126838920443,-0.7980444890110675,6.08517132793151
1937-09-12,0,7,1.165005380714006,4.268755658591851,-2.0588064585154564,6.327562117107307
1937-09-19,0,7,0.39642715387052885,3.800178314027753,-2.648766486735707,6.44894480076346
1937-09-26,0,7,0.9219418613354833,4.020866614078626,-2.1991887309658735,6.2200553450445
1937-10-03,0,7,2.461155068670897,5.419155271386586,-0.47216140728998995,5.891316678676576
1937-10-10,0,7,3.8551850839002677,6.95893452763819,0.5768301898338591,6.382104337804331
1937-10-17,0,7,4.2737152090647434,7.2302868650671686,1.0056327862751684,6.224654078792
1937-10-24,0,7,4.020927485150175,6.974989978884333,0.8669451233557101,6.108044855528623
1937-10-31,0,7,4.056913239206777,7.4597333483321755,0.9115246806739024,6.548208667658273
1937-11-07,0,7,4.815874047696187,7.860361231221393,1.4293005115958584,6.431060719625535
1937-11-14,0,7,5.678436494326984,8.685147314689267,2.586929172465195,6.098218142224072
1937-11-21,0,7,5.659754662910556,8.662572481417506,2.624216946344219,6.038355535073286
1937-11-28,0,7,4.480276667503594,7.184589003129161,1.5135416322227855,5.671047370906376
1937-12-05,0,7,2.8251719862048335,5.900009968278274,-0.3443995812998666,6.24440954957814
1937-12-12,0,7,1.6147913287222142,4.887332951939792,-1.5416389964415143,6.428971948381306
1937-12-19,0,7,1.215605614851662,4.3320685790167035,-1.8522652275115978,6.184333806528302
1937-12-26,0,7,1.4262766082665,4.680820782329727,-1.4800960095326525,6.1609167918623795
1938-01-02,0,7,2.022617521464327,5.262557494644473,-1.1025118485376606,6.3650693431821335
1938-01-09,0,7,3.014947048207704,6.589891668365701,0.27115060349980596,6.318741064865895
1938-01-16,0,7,4.302627873040673,7.243773167461372,1.0060904209420556,6.237682746519316
1938-01-23,0,7,5.325456664985367,8.360390501771894,2.2416872554842358,6.118703246287659
1938-01-30,0,7,5.3737532980299,8.349429483218548,2.4794181837139653,5.870011299504583
1938-02-06,0,7,4.334936872809814,7.377525319142703,1.2205885165426416,6.156936802600061
1938-05-08,1,7,1.7470089624426675,4.914524785849354,-1.2390832046546159,6.15360799050397
1938-05-15,0,7,1.743872580935066,4.861393784697199,-1.3408163085500238,6.202210093247223
1938-05-22,0,7,1.3315367848743727,4.341135957396455,-1.8414922406265377,6.182628198022993
1938-05-29,0,7,0.6601457929981807,3.8413252059539693,-2.5231228809770347,6.364448086931004
1938-06-05,0,7,0.20889345916681243,3.1481636672073474,-3.1634944785848425,6.31165814579219
1938-06-12,0,7,0.295243486815967,3.304210673354631,-2.875433688000601,6.179644361355232
1938-06-19,0,7,0.7531488337371337,3.9381381457561484,-2.324999245751698,6.263137391507847
1938-06-26,0,7,1.1595888327521735,4.42614908283409,-1.8412567907188921,6.267405873552983
1938-07-03,0,7,1.2995357016766405,4.276811736213379,-1.6452862618638355,5.922097998077215
1938-07-10,0,7,1.2889459981501896,4.387104244469619,-1.6636706095985414,6.05077485406816
1938-07-17,0,7,1.2670012806380455,4.5804982733075565,-1.9702799361208116,6.550778209428368
1938-07-24,0,7,1.1504834076765673,4.030804008243429,-2.107939667359942,6.13874367560337
1938-07-31,0,7,0.8230952296003191,3.7807915800540193,-2.5428800427566567,6.323671622810676
1938-08-07,0,7,0.4717278601115579,3.5213403504687193,-2.6082310944273166,6.129571444896036
1938-08-14,0,7,0.5028122441140985,3.452926745712377,-2.6899615791344877,6.142888324846865
1938-08-21,0,7,1.0187532404679298,4.272114959056802,-2.244540159000995,6.5166551180577965
1938-08-28,0,7,1.5179989654727588,4.713832995985583,-1.7057375994341757,6.419570595419758
1938-09-04,0,7,1.3367912463296376,4.377669956834572,-1.833910135143001,6.211580091977573
1938-09-11,0,7,0.4406001701267508,3.5074518785195568,-2.624893231579788,6.132345110099345
1938-09-18,0,7,-0.3792567068183293,2.755156387427113,-3.260866623329092,6.016023010756205
1938-09-25,0,7,-0.25400562501322993,2.8753624903432224,-3.525050429081167,6.400412919424389
1938-10-02,0,7,0.8392640444256245,3.7411311354236507,-2.207669461974974,5.948800597398625
1938-10-09,0,7,2.0362434940999132,5.104934943853048,-1.0178189987749104,6.122753942627959
1938-10-16,0,4,2.5115636516896043,5.729717566346633,-0.7488368040328818,6.4785543703795145
