item_id,member_id,period,metric,score
dickens-david-copperfield,hemingway-ernest,1924-03-28/1925-03-28,pearson,1.0
thompson-francis-thompsons-works,hemingway-ernest,1924-03-28/1925-03-28,euclidean,1.0
carritt-theory-beauty,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.6428571428571428
thompson-francis-thompsons-works,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.5697213423070114
shakespeare-shakespeare,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
swinnerton-george-gissing-critical,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
byron-lord-byrons-correspondence,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wright-life-walter-pater,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
white-gold,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
lindsay-daniel-jazz-poems,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
corkery-threshold-quiet,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
dostoyevsky-eternal-husband-stories,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
chesterton-things-considered,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
shakespeare-shakespeare,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
abercrombie-thomas-hardy-critical,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
lindsay-daniel-jazz-poems,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
george-bed-roses,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
galsworthy-villa-rubein,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
abercrombie-thomas-hardy-critical,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
twain-mark-twains-autobiography,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wright-life-walter-pater,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
snaith-van-roon,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wells-washington-hope-peace,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
austen-lady-susan,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
wells-washington-hope-peace,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jameson-clash,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
bell-since-cezanne,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
bell-since-cezanne,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
swinnerton-george-gissing-critical,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
jameson-clash,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
thoreau-essays-writings-henry,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jones-samuel-butler,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.4285714285714285
moore-avowals,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
smollett-adventures-roderick-random,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
jones-samuel-butler,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
mencken-book-burlesques,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.4285714285714285
carritt-theory-beauty,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.4281512185584556
shaw-unsocial-socialist,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3928571428571428
shaw-unsocial-socialist,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3928571428571428
pound-instigations-ezra-pound,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3857142857142857
pound-instigations-ezra-pound,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3857142857142857
fielding-history-tom-jones,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3749999999999999
fielding-history-tom-jones,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3749999999999999
moore-avowals,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.3542167837440499
mencken-american-language,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3482142857142857
mencken-american-language,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3482142857142857
fitzgerald-side-paradise,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
fitzgerald-side-paradise,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
sinnett-growth-soul,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
stevenson-virginibus-puerisque-papers,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
stevenson-virginibus-puerisque-papers,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
du-bois-darkwater,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
du-bois-darkwater,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
rhys-rabindranath-tagore-biographical,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
rhys-rabindranath-tagore-biographical,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
chesterton-heretics,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3214285714285714
chesterton-heretics,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
sinnett-growth-soul,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3214285714285714
dunsany-fifty-one-tales,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3131868131868131
eastman-enjoyment-poetry,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3131868131868131
eastman-enjoyment-poetry,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3131868131868131
dunsany-fifty-one-tales,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3131868131868131
mckenna-sonia-two-worlds,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3
mckenna-sonia-two-worlds,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3
freud-totem-taboo,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3
green-short-history-english,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3
wells-outline-history,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3
wells-outline-history,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3
green-short-history-english,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.3
freud-totem-taboo,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.3
shaw-irrational-knot,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.2967032967032967
shaw-irrational-knot,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2967032967032967
hardy-collected-poems-thomas,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2857142857142857
hardy-mayor-casterbridge,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.2857142857142857
wharton-age-innocence,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2857142857142857
hardy-collected-poems-thomas,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.2857142857142857
hardy-mayor-casterbridge,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2857142857142857
wharton-age-innocence,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.2857142857142857
tagore-gitanjali,hemingway-ernest,1921-12-28/1922-11-08,euclidean,0.2857142857142857
tagore-gitanjali,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2857142857142857
wells-washington-hope-peace,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
snaith-van-roon,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
wright-life-walter-pater,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
swinnerton-george-gissing-critical,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
wright-life-walter-pater,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
smollett-adventures-roderick-random,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
swinnerton-george-gissing-critical,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
thoreau-essays-writings-henry,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
white-gold,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
lindsay-daniel-jazz-poems,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
mencken-book-burlesques,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
wells-washington-hope-peace,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
twain-mark-twains-autobiography,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
lindsay-daniel-jazz-poems,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
corkery-threshold-quiet,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
jameson-clash,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
dostoyevsky-eternal-husband-stories,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
george-bed-roses,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
galsworthy-villa-rubein,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
bell-since-cezanne,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
bell-since-cezanne,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
byron-lord-byrons-correspondence,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
jameson-clash,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
chesterton-things-considered,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
jones-samuel-butler,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
austen-lady-susan,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
abercrombie-thomas-hardy-critical,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2854341457056371
jones-samuel-butler,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
abercrombie-thomas-hardy-critical,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2854341457056371
shakespeare-shakespeare,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2853047064158075
shakespeare-shakespeare,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2853047064158075
dickens-david-copperfield,hemingway-ernest,1924-03-28/1925-03-28,euclidean,0.2678571428571428
pound-instigations-ezra-pound,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2386640665406059
pound-instigations-ezra-pound,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2386640665406059
freud-totem-taboo,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2368215664723091
freud-totem-taboo,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2368215664723091
fielding-history-tom-jones,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2284248045449174
fielding-history-tom-jones,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2284248045449174
shaw-unsocial-socialist,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2161122415208401
shaw-unsocial-socialist,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2161122415208401
tagore-gitanjali,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2143879956441505
tagore-gitanjali,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2143879956441505
rhys-rabindranath-tagore-biographical,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2142319535960239
rhys-rabindranath-tagore-biographical,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2142319535960239
fitzgerald-side-paradise,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2140438385542125
fitzgerald-side-paradise,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2140438385542125
du-bois-darkwater,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2139894768283806
du-bois-darkwater,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2139894768283806
stevenson-virginibus-puerisque-papers,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.213894987514974
stevenson-virginibus-puerisque-papers,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.213894987514974
wharton-age-innocence,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.2136019004749781
wharton-age-innocence,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.2136019004749781
chesterton-heretics,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1906222316070515
chesterton-heretics,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1906222316070515
wells-outline-history,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1906148702034121
wells-outline-history,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1906148702034121
mencken-american-language,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1904806583437877
mencken-american-language,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1904806583437877
mckenna-sonia-two-worlds,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1904022466275112
mckenna-sonia-two-worlds,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1904022466275112
sinnett-growth-soul,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1903845805310786
sinnett-growth-soul,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1903845805310786
green-short-history-english,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1903322764344117
green-short-history-english,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1903322764344117
eastman-enjoyment-poetry,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.190150084934229
eastman-enjoyment-poetry,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.190150084934229
dunsany-fifty-one-tales,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1900777900566196
dunsany-fifty-one-tales,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1900777900566196
hardy-collected-poems-thomas,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1899156767701577
hardy-collected-poems-thomas,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1899156767701577
dickens-david-copperfield,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1787179226796487
hardy-mayor-casterbridge,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1784967451853965
hardy-mayor-casterbridge,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1784967451853965
shaw-irrational-knot,hemingway-ernest,1924-03-28/1925-03-28,cosine,0.1784700499024176
shaw-irrational-knot,hemingway-ernest,1921-12-28/1922-11-08,cosine,0.1784700499024176
wells-outline-history,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.1415475875341319
wells-outline-history,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.1415475875341319
thompson-francis-thompsons-works,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0737878440640536
moore-avowals,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0622494129963664
carritt-theory-beauty,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0593092937407571
wharton-age-innocence,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0401070234875855
wharton-age-innocence,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0401070234875855
wright-life-walter-pater,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
wright-life-walter-pater,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
wells-washington-hope-peace,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
jameson-clash,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
jameson-clash,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
jones-samuel-butler,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
jones-samuel-butler,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
white-gold,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
mencken-book-burlesques,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
lindsay-daniel-jazz-poems,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
lindsay-daniel-jazz-poems,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
swinnerton-george-gissing-critical,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
chesterton-things-considered,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
smollett-adventures-roderick-random,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
snaith-van-roon,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
abercrombie-thomas-hardy-critical,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
abercrombie-thomas-hardy-critical,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
austen-lady-susan,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
bell-since-cezanne,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0395395291605047
twain-mark-twains-autobiography,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
byron-lord-byrons-correspondence,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
bell-since-cezanne,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
corkery-threshold-quiet,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
swinnerton-george-gissing-critical,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
dostoyevsky-eternal-husband-stories,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
galsworthy-villa-rubein,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
george-bed-roses,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
thoreau-essays-writings-henry,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
wells-washington-hope-peace,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0395395291605047
tagore-gitanjali,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0390433358674227
tagore-gitanjali,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0390433358674227
rhys-rabindranath-tagore-biographical,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.038562593092889
rhys-rabindranath-tagore-biographical,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.038562593092889
chesterton-heretics,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0356841071115214
chesterton-heretics,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0356841071115214
fitzgerald-side-paradise,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0321394993411277
fitzgerald-side-paradise,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0321394993411277
du-bois-darkwater,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0310915128482844
du-bois-darkwater,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0310915128482844
stevenson-virginibus-puerisque-papers,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0292340244601785
stevenson-virginibus-puerisque-papers,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0292340244601785
shakespeare-shakespeare,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0285093145380034
shakespeare-shakespeare,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0285093145380034
green-short-history-english,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0276659013213918
green-short-history-english,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0276659013213918
shaw-irrational-knot,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0267274100315192
shaw-irrational-knot,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0267274100315192
sinnett-growth-soul,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0260952357937165
sinnett-growth-soul,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0260952357937165
mencken-american-language,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0246634037256692
mencken-american-language,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0246634037256692
mckenna-sonia-two-worlds,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.023969780319915
mckenna-sonia-two-worlds,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.023969780319915
dunsany-fifty-one-tales,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0233549531455923
dunsany-fifty-one-tales,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0233549531455923
eastman-enjoyment-poetry,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0226470425683684
eastman-enjoyment-poetry,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0226470425683684
hardy-mayor-casterbridge,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.022108580110997
hardy-mayor-casterbridge,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.022108580110997
hardy-collected-poems-thomas,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0
hardy-collected-poems-thomas,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0
pound-instigations-ezra-pound,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0
pound-instigations-ezra-pound,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0
shaw-unsocial-socialist,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0
shaw-unsocial-socialist,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0
freud-totem-taboo,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0
freud-totem-taboo,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0
fielding-history-tom-jones,hemingway-ernest,1924-03-28/1925-03-28,pearson,0.0
fielding-history-tom-jones,hemingway-ernest,1921-12-28/1922-11-08,pearson,0.0
